id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
SHNwU3BucmQ=,12,16,81.1,0.001,0.001,hspspnrd,HspSpnrd,Hsp2,hispanic_subgroup,demographic,False,54,76,86.1,0.003,0.005,False,24966,1807,4.4,0.01,0.001,True,-42,77.6659513557904,False,-0.7777777777777778,0.43082312191942057,False,-0.002,0.005099019513592785,False,-24954,1807.0708342508326,True,-0.9,0.14142135623730953,True
SHNwU3Buc2g=,0,0,,0,0,hspspnsh,HspSpnsh,Hsp2,hispanic_subgroup,demographic,False,34,33,58.9,0.002,0.002,False,9505,1192,7.6,0.004,0,True,-34,33,False,-1,0,True,-0.002,0.002,False,-9505,1192,True,-0.4,0,True
SHNwVXJn,0,0,,0,0,hspurg,HspUrg,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,3021,707,14.2,0.001,0,True,0,0,0,,,,-3021,707,True,-0.1,0,True
SHNwVm56,50,61,74.7,0.003,0.003,hspvnz,HspVnz,Hsp2,hispanic_subgroup,demographic,False,25,39,94.8,0.001,0.002,False,13555,1267,5.7,0.006,0.001,True,25,72.40165743959182,False,1,3.9608079983760884,False,0.002,0.0036055512754639895,False,-13505,1268.4675794043771,True,-0.3,0.31622776601683794,False
TWFsZQ==,13632,921,4.1,0.468,0.022,male,Male,Pop_1,sex_and_age,demographic,True,12969,930,4.4,0.487,0.023,True,4025097,268,0,0.477,0,True,663,1308.8701234270725,False,0.05112190608373814,0.10355988482023222,False,-0.01899999999999996,0.0318276609256791,False,-4011465,959.200187656362,True,-0.8999999999999915,2.1999999999999997,False
TWRBZ2U=,25.2,1.1,2.7,,,mdage,MdAge,median,sex_and_age,demographic,True,25.3,1.3,3.2,,,True,36.5,0.1,0.2,,,True,-0.10000000000000142,1.7029386365926402,False,,,,,-11.3,1.104536101718726,True,,
TWRQb3AwdDQ=,2123,416,11.9,0,0,mdpop0t4,MdPop0t4,MdAge,demographic__special_variable,demographic,True,2166,0,,0,0,False,551869,0,,0,0,False,-43,416,False,-0.019852262234533704,0.19205909510618652,False,0,0,-549746,416,True,0,0
TWRQb3AxMHQxNA==,2011,392,11.8,0,0,mdpop10t14,MdPop10t14,MdAge,demographic__special_variable,demographic,True,2021,0,,0,0,False,464704,0,,0,0,False,-10,392,False,-0.004948045522018802,0.19396338446313707,False,0,0,-462693,392,True,0,0
TWRQb3AxNXQxNw==,1360,288,12.9,0,0,mdpop15t17,MdPop15t17,MdAge,demographic__special_variable,demographic,True,1126,0,,0,0,False,273431,0,,0,0,False,234,288,False,0.20781527531083482,0.25577264653641213,False,0,0,-272071,288,True,0,0
TWRQb3AxOHQxOQ==,2676,349,7.9,0,0,mdpop18t19,MdPop18t19,MdAge,demographic__special_variable,demographic,True,2305,0,,0,0,False,182243,0,,0,0,False,371,349,False,0.16095444685466379,0.15140997830802602,False,0,0,-179567,349,True,0,0
