id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
RkYyMHQyMnA1,374,58,9.42736862636738,0,0,ff20t22p5,FF20t22p5,MdEFFTWrk,economic__special_variable,economic,True,367,0,,0,0,False,56003,0,,0,0,False,7,58,False,0.01907356948228883,0.15803814713896455,False,0,0,-55629,58,True,0,0
RkYyMnA1dDI1,214,53,15.0555350396273,0,0,ff22p5t25,FF22p5t25,MdEFFTWrk,economic__special_variable,economic,True,256,0,,0,0,False,32627,0,,0,0,False,-42,53,False,-0.1640625,0.20703125,False,0,0,-32413,53,True,0,0
RkZUMTAwcGw=,5401,593,6.67443662633679,0,0,fft100pl,FFT100pl,MdEFFTWrk,economic__special_variable,economic,True,2971,0,,0,0,False,216925,0,,0,0,False,2430,593,True,0.8179064288118478,0.1995960955907102,True,0,0,-211524,593,True,0,0
RkZUMjV0MzA=,491,112,13.8666204445985,0,0,fft25t30,FFT25t30,MdEFFTWrk,economic__special_variable,economic,True,477,0,,0,0,False,84078,0,,0,0,False,14,112,False,0.029350104821802937,0.2348008385744235,False,0,0,-83587,112,True,0,0
RkZUMnA1dDU=,50,0,0,0,0,fft2p5t5,FFT2p5t5,MdEFFTWrk,economic__special_variable,economic,True,39,0,,0,0,False,2238,0,,0,0,False,11,0,True,0.28205128205128205,0,True,0,0,-2188,0,True,0,0
RkZUMzB0MzU=,433,166,23.305278083913,0,0,fft30t35,FFT30t35,MdEFFTWrk,economic__special_variable,economic,False,453,0,,0,0,False,89523,0,,0,0,False,-20,166,False,-0.04415011037527594,0.36644591611479027,False,0,0,-89090,166,True,0,0
RkZUMzV0NDA=,521,115,13.418198577671,0,0,fft35t40,FFT35t40,MdEFFTWrk,economic__special_variable,economic,True,355,0,,0,0,False,89490,0,,0,0,False,166,115,False,0.4676056338028169,0.323943661971831,False,0,0,-88969,115,True,0,0
RkZUNDB0NDU=,532,147,16.7973124300112,0,0,fft40t45,FFT40t45,MdEFFTWrk,economic__special_variable,economic,True,461,0,,0,0,False,94744,0,,0,0,False,71,147,False,0.1540130151843818,0.3188720173535791,False,0,0,-94212,147,True,0,0
RkZUNDV0NTA=,321,141,26.7022696929239,0,0,fft45t50,FFT45t50,MdEFFTWrk,economic__special_variable,economic,False,379,0,,0,0,False,65731,0,,0,0,False,-58,141,False,-0.15303430079155672,0.3720316622691292,False,0,0,-65410,141,True,0,0
RkZUNTB0NTU=,775,224,17.5703500343171,0,0,fft50t55,FFT50t55,MdEFFTWrk,economic__special_variable,economic,True,640,0,,0,0,False,83393,0,,0,0,False,135,224,False,0.2109375,0.35000000000000003,False,0,0,-82618,224,True,0,0
RkZUNTV0NjU=,1284,300,14.2033349430446,0,0,fft55t65,FFT55t65,MdEFFTWrk,economic__special_variable,economic,True,741,0,,0,0,False,125371,0,,0,0,False,543,300,False,0.7327935222672065,0.4048582995951417,False,0,0,-124087,300,True,0,0
RkZUNXQ3cDU=,57,31,33.0613768463712,0,0,fft5t7p5,FFT5t7p5,MdEFFTWrk,economic__special_variable,economic,False,182,0,,0,0,False,10332,0,,0,0,False,-125,31,True,-0.6868131868131868,0.17032967032967034,True,0,0,-10275,31,True,0,0
RkZUNjV0NzU=,1078,319,17.9889585013337,0,0,fft65t75,FFT65t75,MdEFFTWrk,economic__special_variable,economic,True,673,0,,0,0,False,94257,0,,0,0,False,405,319,False,0.6017830609212481,0.4739970282317979,False,0,0,-93179,319,True,0,0
