id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
TWRQb3A0NXQ0OQ==,0,0,,0,0,mdpop45t49,MdPop45t49,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,542513,0,,0,0,False,0,0,0,,,,-542513,0,True,0,0
TWRQb3A1MHQ1NA==,0,0,,0,0,mdpop50t54,MdPop50t54,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,544447,0,,0,0,False,0,0,0,,,,-544447,0,True,0,0
TWRQb3A1NXQ1OQ==,0,0,,0,0,mdpop55t59,MdPop55t59,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,515825,0,,0,0,False,0,0,0,,,,-515825,0,True,0,0
TWRQb3A1dDk=,0,0,,0,0,mdpop5t9,MdPop5t9,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,476567,0,,0,0,False,0,0,0,,,,-476567,0,True,0,0
TWRQb3A2MHQ2MQ==,0,0,,0,0,mdpop60t61,MdPop60t61,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,203884,0,,0,0,False,0,0,0,,,,-203884,0,True,0,0
TWRQb3A2MnQ2NA==,0,0,,0,0,mdpop62t64,MdPop62t64,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,266773,0,,0,0,False,0,0,0,,,,-266773,0,True,0,0
TWRQb3A2NXQ2Ng==,0,0,,0,0,mdpop65t66,MdPop65t66,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,168701,0,,0,0,False,0,0,0,,,,-168701,0,True,0,0
TWRQb3A2N3Q2OQ==,0,0,,0,0,mdpop67t69,MdPop67t69,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,215921,0,,0,0,False,0,0,0,,,,-215921,0,True,0,0
TWRQb3A3MHQ3NA==,0,0,,0,0,mdpop70t74,MdPop70t74,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,280196,0,,0,0,False,0,0,0,,,,-280196,0,True,0,0
TWRQb3A3NXQ3OQ==,0,0,,0,0,mdpop75t79,MdPop75t79,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,211102,0,,0,0,False,0,0,0,,,,-211102,0,True,0,0
TWRQb3A4MHQ4NA==,0,0,,0,0,mdpop80t84,MdPop80t84,MdAge,demographic__special_variable,demographic,False,0,0,,0,0,False,148988,0,,0,0,False,0,0,0,,,,-148988,0,True,0,0
